0.5,0.333333,0.2,0.142857,0.0909091,0.0769231,0.0588235,0.0526316,0.0434783,0.0344828,0.0322581,0.027027,0.0243902,0.0232558,0.0212766,0.0188679,0.0169492,0.0163934,0.0149254,0.0140845,0.0136986,0.0126582,0.0120482,0.011236,0.0103093,0.00990099,0.00970874,0.00934579,0.00917431,0.00884956
0.25,0.666667,0.4,0.285714,0.181818,0.153846,0.117647,0.105263,0.0869565,0.0689655,0.0645161,0.0540541,0.0487805,0.0465116,0.0425532,0.0377358,0.0338983,0.0327869,0.0298507,0.028169,0.0273973,0.0253165,0.0240964,0.0224719,0.0206186,0.019802,0.0194175,0.0186916,0.0183486,0.0176991
0.75,0.111111,0.6,0.428571,0.272727,0.230769,0.176471,0.157895,0.130435,0.103448,0.0967742,0.0810811,0.0731707,0.0697674,0.0638298,0.0566038,0.0508475,0.0491803,0.0447761,0.0422535,0.0410959,0.0379747,0.0361446,0.0337079,0.0309278,0.029703,0.0291262,0.0280374,0.0275229,0.0265487
0.125,0.444444,0.8,0.571429,0.363636,0.307692,0.235294,0.210526,0.173913,0.137931,0.129032,0.108108,0.097561,0.0930233,0.0851064,0.0754717,0.0677966,0.0655738,0.0597015,0.056338,0.0547945,0.0506329,0.0481928,0.0449438,0.0412371,0.039604,0.038835,0.0373832,0.0366972,0.0353982
0.625,0.777778,0.04,0.714286,0.454545,0.384615,0.294118,0.263158,0.217391,0.172414,0.16129,0.135135,0.121951,0.116279,0.106383,0.0943396,0.0847458,0.0819672,0.0746269,0.0704225,0.0684932,0.0632911,0.060241,0.0561798,0.0515464,0.049505,0.0485437,0.046729,0.0458716,0.0442478
0.375,0.222222,0.24,0.857143,0.545455,0.461538,0.352941,0.315789,0.26087,0.206897,0.193548,0.162162,0.146341,0.139535,0.12766,0.113208,0.101695,0.0983607,0.0895522,0.084507,0.0821918,0.0759494,0.0722892,0.0674157,0.0618557,0.0594059,0.0582524,0.0560748,0.0550459,0.0530973
0.875,0.555556,0.44,0.0204082,0.636364,0.538462,0.411765,0.368421,0.304348,0.241379,0.225806,0.189189,0.170732,0.162791,0.148936,0.132075,0.118644,0.114754,0.104478,0.0985915,0.0958904,0.0886076,0.0843373,0.0786517,0.0721649,0.0693069,0.0679612,0.0654206,0.0642202,0.0619469
0.0625,0.888889,0.64,0.163265,0.727273,0.615385,0.470588,0.421053,0.347826,0.275862,0.258065,0.216216,0.195122,0.186047,0.170213,0.150943,0.135593,0.131148,0.119403,0.112676,0.109589,0.101266,0.0963855,0.0898876,0.0824742,0.0792079,0.0776699,0.0747664,0.0733945,0.0707965
0.5625,0.037037,0.84,0.306122,0.818182,0.692308,0.529412,0.473684,0.391304,0.310345,0.290323,0.243243,0.219512,0.209302,0.191489,0.169811,0.152542,0.147541,0.134328,0.126761,0.123288,0.113924,0.108434,0.101124,0.0927835,0.0891089,0.0873786,0.0841121,0.0825688,0.079646
0.3125,0.37037,0.08,0.44898,0.909091,0.769231,0.588235,0.526316,0.434783,0.344828,0.322581,0.27027,0.243902,0.232558,0.212766,0.188679,0.169492,0.163934,0.149254,0.140845,0.136986,0.126582,0.120482,0.11236,0.103093,0.0990099,0.0970874,0.0934579,0.0917431,0.0884956
0.8125,0.703704,0.28,0.591837,0.00826446,0.846154,0.647059,0.578947,0.478261,0.37931,0.354839,0.297297,0.268293,0.255814,0.234043,0.207547,0.186441,0.180328,0.164179,0.15493,0.150685,0.139241,0.13253,0.123596,0.113402,0.108911,0.106796,0.102804,0.100917,0.0973451
0.1875,0.148148,0.48,0.734694,0.0991736,0.923077,0.705882,0.631579,0.521739,0.413793,0.387097,0.324324,0.292683,0.27907,0.255319,0.226415,0.20339,0.196721,0.179104,0.169014,0.164384,0.151899,0.144578,0.134831,0.123711,0.118812,0.116505,0.11215,0.110092,0.106195
0.6875,0.481481,0.68,0.877551,0.190083,0.00591716,0.764706,0.684211,0.565217,0.448276,0.419355,0.351351,0.317073,0.302326,0.276596,0.245283,0.220339,0.213115,0.19403,0.183099,0.178082,0.164557,0.156627,0.146067,0.134021,0.128713,0.126214,0.121495,0.119266,0.115044
0.4375,0.814815,0.88,0.0408163,0.280992,0.0828402,0.823529,0.736842,0.608696,0.482759,0.451613,0.378378,0.341463,0.325581,0.297872,0.264151,0.237288,0.229508,0.208955,0.197183,0.191781,0.177215,0.168675,0.157303,0.14433,0.138614,0.135922,0.130841,0.12844,0.123894
0.9375,0.259259,0.12,0.183673,0.371901,0.159763,0.882353,0.789474,0.652174,0.517241,0.483871,0.405405,0.365854,0.348837,0.319149,0.283019,0.254237,0.245902,0.223881,0.211268,0.205479,0.189873,0.180723,0.168539,0.154639,0.148515,0.145631,0.140187,0.137615,0.132743
0.03125,0.592593,0.32,0.326531,0.46281,0.236686,0.941176,0.842105,0.695652,0.551724,0.516129,0.432432,0.390244,0.372093,0.340426,0.301887,0.271186,0.262295,0.238806,0.225352,0.219178,0.202532,0.192771,0.179775,0.164948,0.158416,0.15534,0.149533,0.146789,0.141593
0.53125,0.925926,0.52,0.469388,0.553719,0.313609,0.00346021,0.894737,0.73913,0.586207,0.548387,0.459459,0.414634,0.395349,0.361702,0.320755,0.288136,0.278689,0.253731,0.239437,0.232877,0.21519,0.204819,0.191011,0.175258,0.168317,0.165049,0.158879,0.155963,0.150442
0.28125,0.0740741,0.72,0.612245,0.644628,0.390533,0.0622837,0.947368,0.782609,0.62069,0.580645,0.486486,0.439024,0.418605,0.382979,0.339623,0.305085,0.295082,0.268657,0.253521,0.246575,0.227848,0.216867,0.202247,0.185567,0.178218,0.174757,0.168224,0.165138,0.159292
0.78125,0.407407,0.92,0.755102,0.735537,0.467456,0.121107,0.00277008,0.826087,0.655172,0.612903,0.513514,0.463415,0.44186,0.404255,0.358491,0.322034,0.311475,0.283582,0.267606,0.260274,0.240506,0.228916,0.213483,0.195876,0.188119,0.184466,0.17757,0.174312,0.168142
0.15625,0.740741,0.16,0.897959,0.826446,0.544379,0.179931,0.0554017,0.869565,0.689655,0.645161,0.540541,0.487805,0.465116,0.425532,0.377358,0.338983,0.327869,0.298507,0.28169,0.273973,0.253165,0.240964,0.224719,0.206186,0.19802,0.194175,0.186916,0.183486,0.176991
0.65625,0.185185,0.36,0.0612245,0.917355,0.621302,0.238754,0.108033,0.913043,0.724138,0.677419,0.567568,0.512195,0.488372,0.446809,0.396226,0.355932,0.344262,0.313433,0.295775,0.287671,0.265823,0.253012,0.235955,0.216495,0.207921,0.203883,0.196262,0.192661,0.185841
0.40625,0.518519,0.56,0.204082,0.0165289,0.698225,0.297578,0.160665,0.956522,0.758621,0.709677,0.594595,0.536585,0.511628,0.468085,0.415094,0.372881,0.360656,0.328358,0.309859,0.30137,0.278481,0.26506,0.247191,0.226804,0.217822,0.213592,0.205607,0.201835,0.19469
0.90625,0.851852,0.76,0.346939,0.107438,0.775148,0.356401,0.213296,0.00189036,0.793103,0.741935,0.621622,0.560976,0.534884,0.489362,0.433962,0.389831,0.377049,0.343284,0.323944,0.315068,0.291139,0.277108,0.258427,0.237113,0.227723,0.223301,0.214953,0.211009,0.20354
0.09375,0.296296,0.96,0.489796,0.198347,0.852071,0.415225,0.265928,0.0453686,0.827586,0.774194,0.648649,0.585366,0.55814,0.510638,0.45283,0.40678,0.393443,0.358209,0.338028,0.328767,0.303797,0.289157,0.269663,0.247423,0.237624,0.23301,0.224299,0.220183,0.212389
